Business Name,Category,IG,Website,Online or Local,Location(s),Tags
Beautiful Beastie,Beauty Services,beautifulbeastiela,http://www.beautifulbeastiela.com/ ,Both,"Carson, California ",Black-Owned Business
Miss Read Books ,Books,missreadbooks,http://www.missreadbooks.org ,Online,N/A,Black-Owned Business
Clean Green Delivery,Cannabis Delivery,cleangreendelivers,http://www.cleangreendelivers.com/ ,Online,"LA, OC & SD",
Advisry,Clothing & Accessories,advisry,http://advisry.com/,Online,"New York City, NY",Black-Owned Business
Bob's Liquor Store,Clothing & Accessories,bobsliquorstore,http://bobsliquorstore.com,Online,"Los Angeles, CA",Black-Owned Business
Corners NY,Clothing & Accessories,cornersny,https://www.cornersny.com/shop,Online,"New York City, NY",Black-Owned Business
Get Fresh Co. ,Clothing & Accessories,getfreshcompany,https://gfctoronto.com/,Online,"Toronto, ON, Canada",Black-Owned Business
Ginew,Clothing & Accessories,ginew_usa,https://ginewusa.com/,Online,"Portland, OR",Indigenous-Owned Business
Henry Mask Co.,Clothing & Accessories,henrymasks,http://henrymask.com/,Online,"Los Angeles, CA",Black-Owned Business
june and mars,Clothing & Accessories,sew_trill,http://juneandmars.com/,Online,"Los Angeles, CA",Black-Owned Business
Live It Wear It,Clothing & Accessories,liwi68,https://www.liwi68.com/,Online,"Toronto, ON, Canada",Black-Owned Business
Orenda Tribe,Clothing & Accessories,orendatribe,https://www.orendatribe.com/,Online,N/A,Indigenous-Owned Business
OSTRICH BRAILLE,Clothing & Accessories,ostrichbraille,https://ostrichbraille.com/,Online,N/A,Black-Owned Business
Social Sundae Co.,Clothing & Accessories,socialsundaeco,http://socialsundae.co,Online,"Los Angeles, CA",
Sunday's Best,Clothing & Accessories,shopsundaysbest,http://shopsundaysbest.co/,Online,"Sacramento, CA",
Tired Bois Club,Clothing & Accessories,tiredboisclub,http://www.tiredboisclub.com/,Online,"Los Angeles, CA",
YCO Active,Clothing & Accessories,ycoactive,https://www.ycoactive.com/,Online,"Los Angeles, CA",Black-Owned Business
ArtisticLeigh,Digital Art,artisticleigh_,,Online,"London, England, UK",Black-Owned Business
Emily Grill,Food & Beverage,,https://emilygrilltogo.com/,Local,"Palm, Los Angeles, CA",
Georgia's Restaurant,Food & Beverage,georgiassoul,https://www.georgias-restaurant.com/menu,Local,"Anaheim, CA, Long Beach, CA",Black-Owned Business
Gloria's Cafe,Food & Beverage,gloriascafela,https://www.gloriascafe.com/,Local,"Palms, Los Angeles, CA",
Hella Nuts,Food & Beverage,hella_nuts,https://thatshellanuts.com/,Both,"Oakland, CA",Black-Owned Business
Maya's Cookies,Food & Beverage,mayascookiessandiego,https://www.mayascookies.com/,Both,"San Diego, CA",Black-Owned Business
The Cookie Jar Bandit ,Food & Beverage,thecookiejarbandit,,Local,"Los Angeles, CA",
Undergrind Cafe,Food & Beverage,undergrindcafe,http://www.undergrindcafe.com/,Local,"Los Angeles, CA",Black-Owned Business
Ace Beaute,Health & Beauty,acebeaute,https://www.acebeaute.com/,Online,N/A,Black-Owned Business
Cheekbone Beauty,Health & Beauty,cheekbonebeauty,https://cheekbonebeauty.ca/,Online,"St. Catharines, Ontario, Canada",Indigenous-Owned Business
Faery Essence,Health & Beauty,faeryessence,https://www.bystinafaye.com/faery-essence-shop,Online,"Sacramento, CA",Black-Owned Business
grey sky,Health & Beauty,greyskyyoga,http://www.greyskyyoga.com/,Online,"Los Angeles, CA",
Kara Maree,Health & Beauty,karamareebeauty,http://www.karamaree.com/,Online,"Los Angeles, CA",Black-Owned Business
Melanin Haircare,Health & Beauty,melaninhaircare,https://melaninhaircare.com/,Online,N/A,Black-Owned Business
Myomi Skin,Health & Beauty,myomiskin,http://www.etsy.com/shop/myomiskinbyevannoel,Online,"Santa Clarita, CA",Black-Owned Business
Ojibway Natural,Health & Beauty,ojibwaynatural,https://ojibwaynatural.com/,Online,"Ontario, Canada",
Sḵwálwen,Health & Beauty,skwalwenbotanicals,https://skwalwen.com/,Online,Canada,Indigenous-Owned Business
The Living Spirit ,Health & Beauty,Imansss,http://imansss.com/,Online,N/A,Black-Owned Business
Indigo Arrows,Home & Living,indigo_arrows,https://indigoarrows.ca/,Online,"Winnipeg, MTB, Canada",Indigenous-Owned Business
Queen LA ,Home & Living,queen_losangeles ,http://queenlosangeles.com/,Both,"Los Angeles, CA",Black-Owned Business
Sosa Scents Candle Company,Home & Living,sosascentsco,https://sosascentsco.com/,Online,California,Black-Owned Business
Star Magic by Ashli ,Home & Living,starmagicbyashli,http://etsy.com/shop/starmagicbyashli,Online,"Los Angeles, CA",Black-Owned Business
The Plant Chica,Home & Living,theplantchica,https://theplantchica.com/,Both,"Los Angeles, CA",
B. Yellowtail Collective,Jewelry & Accessories,byyellowtail,https://byellowtail.com/,Online,N/A,Indigenous-Owned Business
peace of mine. crystals,Jewelry & Accessories,peaceofmine.crystals,https://www.peaceofminecrystals.com,Online,"Los Angeles, CA",
Sen & Sage ,Jewelry & Accessories,senandsage,http://senandsage.etsy.com/,Online,California,
the happy society ,Jewelry & Accessories,thehappysocietyy,https://thehappysociety.shop/,Both,"Sacramento, CA",
Joseph Callender Music,Online Music Lessons,j.callender.sax,https://linktr.ee/j.callender.sax,Online,"Toronto, ON, Canada / Barbados",Black-Owned Business
